,count
360610146021,9664
360610146022,17408
360610146023,5890
360610146024,7520
360610146025,4704
360610146026,7967
360610147001,11616
360610148011,17259
360610148012,33568
360610148021,10688
360610148022,34176
360610148023,13002
360610148024,11456
360610148025,20320
360610149001,50003
360610149002,9344
360610149003,16512
360610149004,28861
360610149005,10912
360610150011,16032
360610150012,15520
360610150021,27264
360610150022,17888
360610150023,12832
360610150024,15008
360610151001,2760
360610151002,5766
360610151003,6417
360610151004,33561
360610152001,2170
360610152002,5084
360610152003,8711
360610152004,5146
360610152005,7680
360610152006,7328
360610153001,13568
360610153002,12896
360610153003,21638
360610153004,23712
360610153005,4576
360610153006,4650
360610153007,16480
360610154001,11712
360610154002,3712
360610154003,4640
360610154004,7068
360610154005,6851
360610154006,7006
360610154007,8184
360610154008,7595
360610154009,7917
360610155001,7968
360610155002,5456
360610155003,2900
360610155004,3840
360610155005,1885
360610155006,15168
360610156011,2449
360610156012,1922
360610156013,10176
360610156014,5632
360610156021,7557
360610157001,4170
360610157002,11616
360610157003,11680
360610157004,4588
360610157005,5856
360610157006,12927
360610157007,13980
360610157008,9827
360610158011,11616
360610158012,12608
360610158013,16213
360610158014,9504
360610158021,11424
360610158022,3520
360610159001,4620
360610159002,3872
360610159003,4768
360610159004,10944
360610159005,15616
360610159006,19189
360610159007,4960
360610160011,12288
360610160012,23840
360610160013,10980
360610160014,5280
360610160021,7392
360610160022,5344
360610161001,14784
360610161002,6169
360610161003,4000
360610161004,4544
360610161005,7194
360610161006,8736
360610162001,192
360610162002,310
360610162003,279
360610162004,465
360610162005,1147
360610163001,3520
360610163002,3441
360610163003,12927
360610163004,22016
360610163005,34272
360610164001,2100
360610164002,3456
360610164003,2790
360610164004,1085
360610165001,38432
360610165002,9728
360610165003,8256
360610165004,6592
360610165005,7776
360610166001,1440
360610166002,2108
360610166003,1344
360610166004,2263
360610166005,1176
360610166006,3007
360610167001,4160
360610167002,3616
360610167003,27808
360610167004,14496
360610167005,21576
360610168001,589
360610168002,10752
360610168003,3200
360610169001,9056
360610169002,5735
360610169003,18144
360610169004,13237
360610169005,4843
360610169006,3808
360610170001,2387
360610170002,2842
360610170003,1178
360610170004,1054
360610170005,806
360610171001,13919
360610171002,20336
360610171003,19680
360610171004,2883
360610171005,4576
360610171006,4608
360610172001,1984
360610172002,1705
360610172003,1581
360610172004,1333
360610172005,870
360610173001,9951
360610173002,3906
360610173003,9312
360610173004,5642
360610173005,5248
360610173006,4608
360610173007,11904
360610174011,527
360610174012,682
360610174013,1216
360610174021,1312
360610175001,4320
360610175002,1800
360610175003,3168
360610175004,14240
360610175005,13024
360610175006,7006
360610175007,11100
360610177001,7134
360610177002,1728
360610177003,6231
360610177004,2945
360610177005,8096
360610177006,1550
360610177007,5580
360610177008,5472
360610178001,279
360610178002,1344
360610178003,1271
360610179001,1824
360610179002,1479
360610179003,3328
360610179004,12400
360610179005,11840
360610179006,6720
360610179007,7904
360610180001,1116
360610180002,1829
360610180003,4371
360610180004,1178
360610181001,7264
360610181002,3520
360610181003,8384
360610181004,3472
360610181005,7136
360610181006,7840
360610182001,2604
360610182002,589
360610182003,1953
360610182004,403
360610182005,961
360610183001,3232
360610183002,1643
360610183003,1736
360610183004,13056
360610183005,13856
360610183006,8494
360610183007,11811
360610184001,1504
360610184002,806
360610184003,210
360610184004,372
360610185001,8000
360610185002,19685
360610185003,5536
360610186001,682
360610186002,1488
360610187001,5024
360610187002,4191
360610187003,8760
360610187004,11392
360610187005,3450
360610187006,3968
360610188001,704
360610188002,1421
360610188003,2666
360610188004,1590
360610189001,4768
360610189002,4929
360610189003,1736
360610189004,2201
360610189005,5363
360610189006,4500
360610190001,3360
360610191001,3131
360610191002,4032
360610191003,9824
360610191004,9540
360610191005,4433
360610191006,4352
360610192001,217
360610192002,62
360610193001,2784
360610193002,3328
360610193003,2046
360610193004,1519
360610193005,5270
360610193006,4727
360610194001,279
360610194002,868
360610194003,1333
360610194004,1488
360610195001,8928
360610195002,10016
360610195003,3534
360610195004,2176
360610195005,2790
360610196001,837
360610196002,682
360610196003,6603
360610197011,4743
360610197021,5973
360610198001,5049
360610198002,225
360610199001,6848
360610199002,9408
360610199003,2759
360610199004,1736
360610199005,1376
360610199006,3968
360610200001,768
360610200002,2387
360610201011,3630
360610201021,3456
360610201022,3904
360610201023,279
360610201024,62
360610203001,2937
360610203002,8289
